flight_i,flight_j,gap_slots,slack_available,buffer_i_no_conn,buffer_j_no_conn,buffer_i_conn,buffer_j_conn,constraint_rhs,constraint_lhs,binding,dep_airport_j,airline_j,buf_j_change
9926,9329,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,MCO,JetBlue Airways,-15.0
9930,10764,1,150,21.52,30.0,21.52,15.0,150,-6.52,False,MCO,United Air Lines Inc.,-15.0
9933,10764,1,150,18.57,30.0,18.57,15.0,150,-3.57,False,MCO,United Air Lines Inc.,-15.0
9935,9939,1,150,17.54,30.0,17.54,27.46,150,9.91,False,MSY,Southwest Airlines Co.,-2.539999999999999
9941,10764,1,150,17.26,30.0,17.26,15.0,150,-2.26,False,MCO,United Air Lines Inc.,-15.0
9977,9267,1,150,19.43,30.0,19.43,15.0,150,-4.43,False,LGA,JetBlue Airways,-15.0
9989,9775,1,150,16.28,30.0,16.28,20.43,150,4.15,False,HNL,Hawaiian Airlines Inc.,-9.57
9996,9993,1,150,17.63,20.22,17.63,20.22,150,2.59,False,ORD,Southwest Airlines Co.,0.0
10002,9898,1,150,23.22,30.0,23.22,15.0,150,-8.22,False,ATL,Southwest Airlines Co.,-15.0
10003,9325,1,150,24.28,30.0,24.28,15.0,150,-9.28,False,MCO,JetBlue Airways,-15.0
10005,10004,1,150,22.97,30.0,22.97,15.0,150,-7.97,False,DEN,Southwest Airlines Co.,-15.0
10008,10004,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,DEN,Southwest Airlines Co.,-15.0
10010,10004,1,150,23.04,30.0,23.04,15.0,150,-8.04,False,DEN,Southwest Airlines Co.,-15.0
10011,9927,1,150,16.55,23.1,16.55,23.1,150,6.54,False,DAL,Southwest Airlines Co.,0.0
10012,9927,1,150,20.87,23.1,20.87,23.1,150,2.22,False,DAL,Southwest Airlines Co.,0.0
10037,10041,2,330,15.93,30.0,15.93,15.0,330,-0.93,False,LGA,Southwest Airlines Co.,-15.0
10038,9823,1,150,15.93,25.31,15.93,15.0,150,-0.93,False,MCO,Spirit Air Lines,-10.309999999999999
10046,9267,1,150,16.76,30.0,16.76,15.0,150,-1.76,False,LGA,JetBlue Airways,-15.0
10050,10065,1,150,16.11,30.0,16.11,15.0,150,-1.11,False,ORD,Southwest Airlines Co.,-15.0
10051,10065,1,150,17.26,30.0,17.26,15.0,150,-2.26,False,ORD,Southwest Airlines Co.,-15.0
10052,10059,1,150,27.64,30.0,27.64,15.0,150,-12.64,False,DEN,Southwest Airlines Co.,-15.0
10053,9713,1,150,22.43,30.0,22.43,21.32,150,-1.11,False,MCO,Frontier Airlines Inc.,-8.68
10055,10059,1,150,23.41,30.0,23.41,15.0,150,-8.41,False,DEN,Southwest Airlines Co.,-15.0
10056,10059,1,150,22.84,30.0,22.84,15.0,150,-7.84,False,DEN,Southwest Airlines Co.,-15.0
10057,10063,1,150,19.24,30.0,15.0,30.0,150,15.0,False,MDW,Southwest Airlines Co.,0.0
10058,10065,1,150,19.24,30.0,19.24,15.0,150,-4.24,False,ORD,Southwest Airlines Co.,-15.0
10060,10065,1,150,18.1,30.0,18.1,15.0,150,-3.1,False,ORD,Southwest Airlines Co.,-15.0
10061,10065,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ORD,Southwest Airlines Co.,-15.0
10063,10059,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,DEN,Southwest Airlines Co.,-15.0
10065,10059,1,150,30.0,30.0,15.0,15.0,150,0.0,False,DEN,Southwest Airlines Co.,-15.0
10066,10065,1,150,30.0,30.0,30.0,15.0,150,-15.0,False,ORD,Southwest Airlines Co.,-15.0
10067,10059,1,150,24.34,30.0,24.34,15.0,150,-9.34,False,DEN,Southwest Airlines Co.,-15.0
10070,10004,1,150,22.24,30.0,22.24,15.0,150,-7.24,False,DEN,Southwest Airlines Co.,-15.0
